"e","a","i","om","w","ma","epoch","H","albedo","diameter","class","name"
.1490104356924827,2.423117068613382,3.711629185846217,131.4981986478843,344.1848821891114,35.25672400195189,2459800.5,7.00,0.482,70.64,MBA,Nysa
.08346739568970385,2.721022599854362,6.605391188458891,147.5945244478184,87.59322318750115,302.599636337214,2459800.5,7.68,0.045,202.327,MBA,Eugenia
.1730029827194599,2.526056351106406,2.351355808025228,181.0639416472642,177.2157553820793,4.850879758312852,2459800.5,8.60,0.046,131.471,MBA,Hestia
.1300646971565284,2.880924118773311,4.975656985014044,3.053427605486151,315.1723599892418,293.4939075319168,2459800.5,8.21,0.082,168.174,MBA,Aglaja
.06958653788370765,3.118999479843244,6.55699901641174,183.4486046181905,251.0210890376424,286.9189964104256,2459800.5,7.20,0.065,216.473,MBA,Doris
.2216284981003794,3.098662756474641,3.200640461554673,285.0467352703308,113.1597136897974,96.49051929262352,2459800.5,7.92,0.048,166.252,MBA,Pales
.2852132209877442,2.650376788339889,2.839299703006172,173.4682476453466,199.9303136231232,72.86074115382497,2459800.5,9.38,0.050,84.074,MBA,Virginia
.0674646591132738,2.365214085978312,9.979355409617362,175.9557314532912,1.797107474991545,61.9594663004897,2459800.5,7.67,0.100,138.159,MBA,Nemausa
.1108436246417435,3.094666201697266,7.478179052784809,128.5931164363445,343.0412878677082,94.96049546043071,2459800.5,6.59,0.057,303.918,MBA,Europa
.2023840684276806,2.61829218686531,5.181123770847182,143.4573516735407,314.1860590900803,342.2935150628234,2459800.5,8.90,0.028,97.262,MBA,Kalypso
.1969350640255101,2.711540650705094,11.79644530174992,313.239121783393,345.2211171626386,282.9837290300201,2459800.5,7.88,0.059,160.120,MBA,Alexandra
.1440192577430421,2.758622842257521,7.181678787202983,10.3626881813682,5.475330372094743,258.8733384735448,2459800.5,7.90,0.204,84.794,MBA,Pandora
.2377609397773783,2.596329484883709,8.081753329262025,192.9431205722504,104.9512095920835,169.4156537401574,2459800.5,8.58,0.057,121.333,MBA,Melete
.109014789361239,3.154003273271653,15.23600648508428,198.89539097886,210.5181288392412,354.4778040129035,2459800.5,7.05,0.2149,112.59,MBA,Mnemosyne
.04453796482941275,2.699883604023082,5.07264501504414,161.0661714879186,33.81654120541275,201.830346032847,2459800.5,9.10,0.044,106.517,MBA,Concordia
.1172154100074715,2.7127333769857,8.649404898201155,169.9302862580612,210.7288964871511,64.18379592072363,2459800.5,8.09,0.044,165.119,MBA,Elpis
.1851199390019294,2.391605432985827,3.601134348887226,191.5423142032741,271.0500783288292,168.2473896481,2459800.5,8.63,0.373,43.218,MBA,Echo
.164657068952236,2.985048924036818,18.2103235531571,333.5732235677922,12.72911460709064,141.3435832692608,2459800.5,7.66,0.203,85.937,MBA,Danae
.1680561378627994,3.130129590128984,2.236584643779992,125.1229538529242,277.4138954171654,92.43463076585346,2459800.5,8.84,0.048,106.921,MBA,Erato
.1278396580904014,2.395363393898723,5.774547948842041,337.7132336258962,296.0759248998788,98.41798453197568,2459800.5,7.54,0.125,116.044,MBA,Ausonia
