"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
Coelestina,9.19,2460600.5,0.0735,2.763,9.76,84.13,201.93,MBA,0.2108,41.08,174.17
Hypatia,8.09,2460600.5,0.0919,2.908,12.40,183.80,209.83,MBA,0.039,155.659,47.65
Adrastea,10.53,2460600.5,0.2359,2.965,6.18,180.61,209.53,MBA,0.095,37.609,93.10
Vanadis,9.17,2460600.5,0.2092,2.664,2.11,115.05,300.83,MBA,0.031,87.928,19.62
Germania,7.80,2460600.5,0.1060,3.047,5.52,270.13,79.28,MBA,0.0575,168.90,114.71
Kriemhild,9.54,2460600.5,0.1226,2.86,11.35,206.89,278.85,MBA,0.222,40.802,242.67
Ida,10.09,2460600.5,0.0447,2.86,1.13,323.58,114.13,MBA,0.262,32,286.63
Sita,12.00,2460600.5,0.1369,2.175,2.85,208.93,166.27,MBA,0.256,11.077,248.24
Vera,7.98,2460600.5,0.1976,3.096,5.18,61.04,331.92,MBA,0.228,75.949,300.42
Asporina,8.65,2460600.5,0.1082,2.694,15.62,162.26,96.34,MBA,0.193,50.891,121.43
Eukrate,8.19,2460600.5,0.2466,2.74,24.95,0.04,55.34,MBA,0.064,130.935,7.09
Lameia,10.28,2460600.5,0.0678,2.47,4.07,246.63,11.37,MBA,0.062,50.120,305.06
Ilse,11.43,2460600.5,0.2171,2.378,9.62,334.67,42.28,MBA,0.0428,34.83,310.64
Bettina,7.70,2460600.5,0.1368,3.143,12.82,23.80,75.82,MBA,0.112,120.995,227.96
Sophia,9.99,2460600.5,0.0935,3.098,10.55,155.87,289.34,MBA,0.234,27.495,118.57
Clementina,9.96,2460600.5,0.0660,3.162,10.03,201.91,160.33,MBA,0.047,65.344,292.47
Mathilde,10.38,2460600.5,0.2643,2.647,6.74,179.50,157.65,MBA,0.0436,52.8,136.04
Augusta,11.87,2460600.5,0.1211,2.196,4.51,28.41,233.50,MBA,0.170,12.467,169.91
Oppavia,10.54,2460600.5,0.0791,2.745,9.46,13.57,154.47,MBA,0.038,56.939,192.55
Walpurga,9.95,2460600.5,0.0630,3.007,13.30,182.79,49.79,MBA,0.050,66.634,197.86
Silesia,9.72,2460600.5,0.1124,3.12,3.61,34.05,32.04,MBA,0.0545,72.66,202.44
Tyche,8.30,2460600.5,0.2052,2.614,14.33,207.53,155.39,MBA,0.1676,64.78,136.56
Aletheia,7.84,2460600.5,0.1298,3.133,10.81,86.78,166.45,MBA,0.043,174.318,317.25
Huberta,9.32,2460600.5,0.1071,3.451,6.42,164.95,180.20,OMB,0.044,101.539,213.26
Prymno,9.58,2460600.5,0.0902,2.331,3.63,96.58,66.68,MBA,0.137,50.011,145.40
