"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
,15.41,2460600.5,0.1126,3.114,9.45,225.81,113.89,MBA,0.169,3.090,211.76
,16.27,2460600.5,0.1950,3.085,3.14,75.57,312.92,MBA,0.053,3.323,190.43
,17.36,2460600.5,0.1879,2.211,3.09,256.93,148.67,MBA,0.061,2.346,272.87
,17.28,2460600.5,0.1385,2.588,3.29,67.14,55.41,MBA,0.050,2.363,141.53
,15.40,2460600.5,0.1404,3.176,6.58,243.07,179.81,MBA,0.087,4.306,105.53
,15.08,2460600.5,0.0634,3.223,11.97,333.70,82.62,OMB,0.087,4.947,87.00
,15.44,2460600.5,0.2142,3.13,12.88,63.31,337.53,MBA,0.098,3.878,161.64
,15.53,2460600.5,0.1023,3.129,11.71,206.91,95.08,MBA,0.158,2.915,235.88
,17.93,2460600.5,0.0989,2.267,2.73,148.85,327.10,MBA,0.041,1.735,139.41
,16.53,2460600.5,0.1018,2.521,9.10,36.64,285.30,MBA,0.119,2.221,345.53
,15.38,2460600.5,0.1613,3.101,11.69,121.91,271.23,MBA,0.141,3.085,179.83
,16.76,2460600.5,0.0468,1.989,24.65,90.43,211.86,IMB,,,354.42
,15.74,2460600.5,0.2040,3.105,19.74,64.49,355.23,MBA,0.050,4.927,162.15
,17.35,2460600.5,0.2238,2.602,2.47,43.03,357.57,MBA,0.070,1.908,193.82
,17.17,2460600.5,0.3181,2.546,12.19,86.37,271.15,MBA,0.040,2.629,261.05
,14.97,2460600.5,0.0730,3.162,14.46,107.77,258.87,MBA,0.077,5.261,164.41
,17.71,2460600.5,0.1480,2.283,2.72,136.46,307.97,MBA,0.045,1.724,147.09
,15.60,2460600.5,0.2173,3.068,4.63,54.38,327.27,MBA,0.058,4.817,208.93
,15.60,2460600.5,0.1119,3.192,4.29,200.03,232.87,MBA,0.077,4.184,103.82
,16.53,2460600.5,0.1849,3.126,1.04,159.36,188.01,MBA,0.079,2.481,199.81
,15.45,2460600.5,0.0605,3.425,10.49,219.47,1.88,OMB,0.068,4.878,195.02
,15.71,2460600.5,0.2328,2.607,12.27,227.72,154.24,MBA,0.066,4.211,204.18
,16.23,2460600.5,0.1339,3.099,5.99,78.68,235.88,MBA,0.038,4.095,239.75
,15.82,2460600.5,0.1874,3.066,2.70,76.14,189.78,MBA,0.095,3.126,285.13
,15.25,2460600.5,0.1808,3.152,14.56,145.25,250.65,MBA,0.063,5.277,146.94
,18.07,2460600.5,0.0983,2.209,3.87,40.87,42.22,MBA,0.045,1.579,229.09
,16.74,2460600.5,0.1680,3.106,0.47,162.75,132.05,MBA,0.040,2.917,249.79
,15.76,2460600.5,0.0904,2.677,12.58,78.21,257.09,MBA,0.154,2.816,195.17
,15.46,2460600.5,0.1964,3.206,8.58,243.52,172.60,OMB,0.057,5.092,112.83
,16.71,2460600.5,0.1502,2.343,11.46,52.42,64.30,MBA,0.175,1.667,59.68
,14.96,2460600.5,0.1384,3.202,14.84,252.63,216.10,OMB,0.117,4.674,59.47
,15.71,2460600.5,0.0851,3.133,11.04,124.63,261.58,MBA,0.033,5.776,164.15
,17.24,2460600.5,0.2518,2.556,6.80,157.14,168.40,MBA,0.042,2.460,280.53
,15.25,2460600.5,0.1242,3.156,18.48,119.77,280.91,MBA,0.062,5.104,146.03
,15.10,2460600.5,0.0726,3.233,16.81,7.67,327.11,OMB,0.057,6.091,154.87
,16.91,2460600.5,0.1871,2.57,16.35,194.38,259.51,MBA,0.076,2.205,187.19
,15.16,2460600.5,0.2192,3.121,13.04,237.24,88.30,MBA,0.076,5.060,207.04
,14.98,2460600.5,0.1231,3.213,12.51,92.82,244.63,OMB,0.159,3.659,157.81
,15.42,2460600.5,0.2569,3.159,15.84,215.15,214.60,MBA,0.080,4.687,136.40
,16.98,2460600.5,0.1419,2.461,3.75,98.94,182.03,MBA,0.036,3.066,84.75
,15.70,2460600.5,0.1096,3.13,10.72,158.38,186.16,MBA,0.048,4.618,197.28
,15.89,2460600.5,0.1522,3.19,5.12,146.50,253.91,MBA,0.104,3.431,134.13
,15.92,2460600.5,0.1665,3.131,4.73,134.02,232.30,MBA,0.043,4.637,186.85
,16.79,2460600.5,0.0596,1.926,19.07,263.15,63.21,IMB,,,97.48
,17.24,2460600.5,0.2210,2.64,1.10,309.31,55.83,MBA,0.047,2.323,185.20
,15.33,2460600.5,0.2375,3.17,21.00,332.80,59.73,MBA,0.110,4.387,156.97
,17.46,2460600.5,0.1704,2.336,3.81,258.80,275.55,MBA,0.045,2.394,25.55
,17.84,2460600.5,0.0670,2.223,1.92,251.50,300.61,MBA,0.050,1.790,130.97
,14.53,2460600.5,0.1856,3.163,18.95,257.14,144.84,MBA,0.071,7.543,145.09
,17.57,2460600.5,0.1044,2.299,3.19,69.99,139.27,MBA,0.053,1.823,33.29
,17.70,2460600.5,0.1367,2.274,3.36,48.62,30.04,MBA,0.071,1.728,174.21
,17.73,2460600.5,0.0653,1.974,20.63,206.10,50.92,IMB,,,57.85
,16.85,2460600.5,0.1440,2.677,8.17,91.02,84.25,MBA,0.046,2.970,42.99
,16.18,2460600.5,0.1275,2.563,9.24,210.73,191.85,MBA,0.229,2.012,237.34
,16.94,2460600.5,0.0824,2.364,3.33,274.34,228.12,MBA,0.067,2.355,26.81
,16.13,2460600.5,0.0410,2.628,12.26,111.43,175.58,MBA,0.069,3.043,286.77
,16.41,2460600.5,0.2886,2.549,6.36,172.24,299.22,MBA,0.477,1.272,206.26
,16.92,2460600.5,0.1976,2.37,9.94,100.19,314.77,MBA,0.077,2.189,88.65
,17.09,2460600.5,0.1028,2.309,6.07,93.43,83.62,MBA,0.129,1.408,53.22
,16.31,2460600.5,0.0094,2.712,6.40,89.22,313.66,MBA,0.086,2.854,110.52
,15.27,2460600.5,0.0804,3.079,8.89,269.93,65.09,MBA,0.168,3.554,230.16
,17.68,2460600.5,0.1253,2.296,3.11,48.73,157.80,MBA,0.052,1.755,34.78
,15.98,2460600.5,0.1343,2.578,7.40,224.87,253.10,MBA,,,170.50
,16.70,2460600.5,0.1984,2.405,20.55,287.52,146.45,MBA,0.044,3.311,37.53
,17.32,2460600.5,0.1693,2.386,2.56,316.11,323.08,MBA,0.034,2.492,280.24
,17.10,2460600.5,0.2103,2.328,2.35,346.74,312.07,MBA,0.072,2.068,343.97
,16.05,2460600.5,0.1185,3.067,3.43,130.87,354.54,MBA,0.059,3.455,205.97
,17.75,2460600.5,0.1006,2.231,3.38,96.99,83.03,MBA,0.082,1.468,165.42
,17.14,2460600.5,0.1799,2.657,7.16,177.11,279.11,MBA,0.048,2.425,113.70
,17.61,2460600.5,0.1208,2.319,4.42,109.33,21.09,MBA,0.059,1.815,79.69
,15.78,2460600.5,0.0950,2.858,13.08,125.53,257.25,MBA,0.068,4.034,40.71
,16.43,2460600.5,0.1720,2.774,7.79,126.64,270.86,MBA,0.120,2.011,78.06
,15.84,2460600.5,0.0520,2.984,11.34,310.16,314.31,MBA,0.034,4.772,80.20
,17.99,2460600.5,0.1116,2.297,2.41,260.06,203.60,MBA,0.050,1.638,146.51
,17.25,2460600.5,0.1265,2.412,3.57,114.01,70.45,MBA,0.048,2.214,314.58
,17.19,2460600.5,0.1555,2.397,4.49,32.60,131.95,MBA,,,338.68
,16.51,2460600.5,0.0638,2.796,5.38,123.81,285.45,MBA,0.057,2.796,55.23
,16.84,2460600.5,0.2513,2.294,7.30,136.62,134.57,MBA,0.222,1.350,356.92
,16.95,2460600.5,0.1754,2.337,8.89,137.08,52.49,MBA,0.111,1.820,54.44
,17.36,2460600.5,0.0973,2.33,3.31,77.01,185.06,MBA,0.062,1.853,323.60
,17.55,2460600.5,0.1374,2.349,1.97,257.30,344.07,MBA,0.050,1.709,317.82
,17.52,2460600.5,0.1424,2.149,3.54,91.21,288.58,MBA,,,71.85
,17.94,2460600.5,0.0410,2.234,3.12,154.12,311.24,MBA,,,236.37
,15.55,2460600.5,0.1332,2.886,14.64,124.81,187.93,MBA,0.033,5.809,102.11
,17.40,2460600.5,0.2178,2.316,2.13,240.80,350.58,MBA,,,34.62
,17.03,2460600.5,0.1587,2.35,5.56,134.34,51.07,MBA,0.156,1.404,27.54
,17.30,2460600.5,0.1129,2.274,7.81,102.74,77.10,MBA,,,127.72
,17.11,2460600.5,0.1620,2.334,5.20,135.22,27.31,MBA,0.161,1.444,70.42
,15.76,2460600.5,0.0474,2.943,10.04,298.26,184.69,MBA,0.050,4.505,261.88
,16.89,2460600.5,0.0801,2.296,5.28,309.75,231.45,MBA,,,100.74
,17.58,2460600.5,0.1616,2.326,3.48,221.57,303.12,MBA,0.074,1.692,78.19
,16.85,2460600.5,0.1372,2.417,4.39,98.83,134.40,MBA,0.063,2.429,270.06
,16.17,2460600.5,0.1047,3.119,4.51,328.41,289.34,MBA,0.033,5.094,33.00
,17.07,2460600.5,0.2070,2.347,5.27,215.53,23.66,MBA,0.042,2.820,358.19
,15.81,2460600.5,0.1302,3.152,8.89,8.77,228.75,MBA,0.041,5.201,57.25
,15.77,2460600.5,0.0213,3.153,11.52,141.51,312.69,MBA,0.034,5.202,182.51
,17.30,2460600.5,0.1871,2.301,1.55,348.50,250.98,MBA,,,47.13
,16.76,2460600.5,0.1243,2.326,6.09,138.52,78.81,MBA,,,42.67
,17.32,2460600.5,0.2109,2.322,2.92,166.44,99.20,MBA,,,12.33
,16.95,2460600.5,0.1682,2.351,3.73,290.67,271.46,MBA,,,26.14
,17.47,2460600.5,0.0684,2.282,6.50,162.39,80.79,MBA,,,63.19
,18.03,2460600.5,0.1576,2.286,3.91,142.23,118.44,MBA,,,46.78
,16.72,2460600.5,0.2223,2.417,11.60,167.07,30.65,MBA,0.070,2.517,313.93
,15.72,2460600.5,0.0967,3.003,7.13,127.83,7.49,MBA,0.071,4.342,222.55
,16.94,2460600.5,0.1917,2.339,5.77,63.73,155.08,MBA,0.250,1.214,14.55
,17.34,2460600.5,0.1623,2.317,2.64,65.52,202.56,MBA,0.030,2.667,358.33
,16.52,2460600.5,0.0223,2.976,7.22,356.32,189.73,MBA,0.035,3.421,203.77
,17.34,2460600.5,0.1585,2.36,1.64,345.17,236.62,MBA,,,357.24
,15.59,2460600.5,0.1337,2.975,10.58,143.63,262.18,MBA,0.187,2.675,316.63
,17.13,2460600.5,0.1222,2.573,11.76,166.06,338.45,MBA,0.069,2.019,212.40
,17.64,2460600.5,0.0966,2.287,3.06,184.95,335.26,MBA,0.068,1.615,123.06
,17.07,2460600.5,0.2298,2.328,4.40,308.22,324.03,MBA,0.049,2.386,350.55
,17.32,2460600.5,0.1902,2.241,4.03,149.93,134.15,MBA,,,83.58
,17.08,2460600.5,0.0869,2.34,2.47,224.56,42.99,MBA,,,325.69
,16.93,2460600.5,0.3201,2.328,5.46,343.83,318.71,MCA,,,294.22
,17.21,2460600.5,0.1431,2.435,9.31,175.12,4.03,MBA,0.060,1.966,313.67
,16.37,2460600.5,0.0526,3.011,5.92,165.38,54.82,MBA,0.034,3.940,146.57
,17.73,2460600.5,0.1732,2.344,1.44,130.48,127.76,MBA,,,348.59
,17.69,2460600.5,0.1362,2.407,3.27,85.09,101.41,MBA,,,339.39
,15.82,2460600.5,0.0963,3.203,0.40,267.76,261.30,OMB,0.052,4.207,89.74
,17.63,2460600.5,0.1549,2.418,1.97,158.44,47.54,MBA,,,318.55
Richardwessling,15.67,2460600.5,0.0335,3.067,11.12,167.42,300.59,MBA,0.047,4.645,215.37
,17.13,2460600.5,0.2316,2.367,6.54,138.18,146.34,MBA,0.060,2.254,292.04
,15.43,2460600.5,0.1612,3.139,10.82,172.72,4.18,MBA,0.037,6.295,126.17
,17.62,2460600.5,0.2091,2.291,0.53,26.82,254.65,MBA,,,32.07
,15.80,2460600.5,0.0512,3.105,10.50,162.56,228.82,MBA,0.039,5.123,281.90
,16.76,2460600.5,0.1639,2.376,6.38,99.23,125.57,MBA,,,334.50
,15.12,2460600.5,0.0510,3.118,17.04,288.43,226.60,MBA,0.060,5.676,133.51
,15.91,2460600.5,0.1122,3.105,4.18,57.29,94.21,MBA,0.066,4.101,159.23
,17.31,2460600.5,0.0774,2.544,1.38,129.34,17.89,MBA,0.059,2.071,231.52
,16.48,2460600.5,0.0905,2.627,3.77,159.61,241.70,MBA,0.078,2.876,271.31
,17.01,2460600.5,0.1617,2.362,4.96,184.06,97.15,MBA,,,316.87
,16.79,2460600.5,0.1271,2.544,10.34,340.54,324.70,MBA,0.051,2.959,93.28
,16.94,2460600.5,0.1447,2.37,3.38,77.63,156.24,MBA,,,341.97
,12.96,2460600.5,0.1174,5.219,13.33,341.83,329.03,TJN,0.048,16.788,58.03
,17.24,2460600.5,0.1660,2.397,4.64,359.63,182.36,MBA,0.074,2.136,0.51
,15.82,2460600.5,0.0693,2.991,10.67,163.80,297.96,MBA,0.110,3.042,280.50
,16.48,2460600.5,0.2552,2.565,9.88,310.28,278.94,MBA,0.055,3.111,159.85
,17.50,2460600.5,0.1662,2.553,4.34,326.47,180.46,MBA,0.045,2.074,219.48
,14.94,2460600.5,0.1110,3.234,23.01,38.07,110.18,OMB,0.110,4.593,104.98
,17.03,2460600.5,0.1428,2.329,6.34,194.98,79.24,MBA,,,2.81
,17.86,2460600.5,0.2134,2.186,3.10,175.91,145.95,MBA,0.077,1.378,148.45
,15.30,2460600.5,0.1677,3.964,3.28,161.65,127.94,OMB,0.026,7.178,51.07
,17.27,2460600.5,0.1440,2.442,3.33,48.04,220.18,MBA,0.081,1.771,255.14
,16.77,2460600.5,0.1764,2.544,28.39,20.33,105.24,MBA,0.038,3.101,244.60
,15.39,2460600.5,0.1132,3.165,6.31,125.88,87.04,MBA,0.081,4.893,88.24
,16.55,2460600.5,0.2566,2.313,23.88,186.17,121.31,MBA,,,4.20
,17.12,2460600.5,0.1619,2.371,4.12,184.20,169.29,MBA,,,254.92
,16.77,2460600.5,0.0718,2.624,3.18,220.86,5.19,MBA,0.084,2.100,114.89
,17.48,2460600.5,0.1193,2.39,3.86,142.10,140.96,MBA,,,289.11
,16.92,2460600.5,0.1293,2.594,2.62,96.40,32.68,MBA,0.039,2.952,213.98
,17.58,2460600.5,0.1017,2.56,3.95,31.64,207.59,MBA,0.046,2.055,165.02
,16.64,2460600.5,0.1633,2.657,12.06,36.68,234.55,MBA,0.042,3.238,49.70
,16.70,2460600.5,0.1954,2.608,12.06,192.64,342.16,MBA,0.051,2.954,166.04
,17.07,2460600.5,0.2434,2.272,4.47,222.86,34.92,MBA,0.064,2.409,103.65
,16.64,2460600.5,0.1563,2.632,9.64,215.61,28.14,MBA,0.126,2.256,96.99
,16.75,2460600.5,0.0961,2.421,4.56,40.35,181.39,MBA,,,307.99
,16.16,2460600.5,0.1024,2.724,11.57,187.13,90.51,MBA,0.045,3.761,347.25
,15.64,2460600.5,0.0643,3.173,3.56,340.86,247.96,MBA,0.045,5.201,66.45
,17.66,2460600.5,0.1374,2.344,5.35,191.35,63.49,MBA,,,21.39
,17.18,2460600.5,0.2000,2.381,4.63,193.03,87.05,MBA,,,312.88
,16.39,2460600.5,0.0748,2.7,6.03,66.23,94.63,MBA,0.042,3.562,105.15
,18.09,2460600.5,0.1457,2.426,0.15,160.44,64.93,MBA,,,301.17
,17.27,2460600.5,0.1586,2.417,3.45,63.84,52.29,MBA,,,38.99
,16.87,2460600.5,0.0582,2.449,4.96,240.91,352.83,MBA,,,272.36
,16.34,2460600.5,0.1656,2.563,8.26,99.21,141.44,MBA,0.232,1.824,140.68
,16.26,2460600.5,0.0896,2.66,9.28,132.97,106.16,MBA,0.102,2.508,75.58
,16.89,2460600.5,0.0698,2.487,6.49,87.20,120.11,MBA,,,274.29
,17.17,2460600.5,0.1890,2.659,4.41,165.00,98.87,MBA,0.067,1.957,62.99
,16.50,2460600.5,0.1693,2.782,4.86,113.38,198.01,MBA,0.038,3.567,281.18
,16.01,2460600.5,0.2641,2.59,12.50,274.29,6.05,MBA,0.049,4.165,114.48
,16.76,2460600.5,0.0189,2.708,6.08,56.14,205.27,MBA,0.057,2.670,6.43
,17.27,2460600.5,0.2433,2.6,10.49,229.05,274.29,MBA,0.077,1.741,202.60
,16.25,2460600.5,0.0381,2.794,5.91,81.87,316.28,MBA,0.079,3.119,185.45
,16.45,2460600.5,0.0777,2.723,5.70,194.75,335.07,MBA,0.087,2.471,90.30
,17.05,2460600.5,0.1589,2.699,2.21,88.36,117.35,MBA,0.051,2.244,73.94
,16.24,2460600.5,0.0730,2.868,6.69,123.63,284.76,MBA,0.074,3.086,111.90
,16.64,2460600.5,0.0623,2.696,5.46,107.07,142.43,MBA,0.044,3.037,44.25
,16.86,2460600.5,0.0335,2.785,5.64,106.59,321.27,MBA,0.048,2.768,152.43
,16.82,2460600.5,0.0551,2.734,3.42,198.65,50.01,MBA,0.065,2.383,20.47
,16.70,2460600.5,0.2739,2.551,12.92,42.98,256.64,MBA,0.044,3.164,145.77
,16.09,2460600.5,0.2348,2.615,14.59,113.50,149.55,MBA,0.272,1.607,104.85
,16.12,2460600.5,0.0727,2.573,15.08,95.91,165.56,MBA,0.183,2.151,130.73
,16.61,2460600.5,0.1442,2.71,9.74,227.52,352.01,MBA,0.057,3.208,61.66
,16.47,2460600.5,0.1963,2.457,12.64,95.04,215.40,MBA,,,221.62
,16.68,2460600.5,0.1132,2.44,7.98,94.57,204.55,MBA,,,240.17
,16.34,2460600.5,0.1606,2.549,7.44,199.34,23.32,MBA,0.204,1.617,210.11
,17.22,2460600.5,0.0989,2.492,1.33,98.45,147.82,MBA,,,234.68
,16.27,2460600.5,0.0630,2.678,8.95,140.28,6.23,MBA,0.080,3.246,160.43
,17.05,2460600.5,0.1467,2.336,3.57,95.27,158.94,MBA,0.047,2.798,48.47
,16.41,2460600.5,0.0791,2.703,10.54,36.10,63.39,MBA,0.039,3.210,165.29
,16.32,2460600.5,0.1897,2.802,12.92,48.39,334.24,MBA,0.042,4.262,202.17
,16.35,2460600.5,0.1856,2.346,22.79,135.85,136.35,MBA,0.084,2.895,20.65
,14.77,2460600.5,0.2609,3.16,28.26,289.12,31.45,MBA,0.039,8.078,84.81
,16.15,2460600.5,0.2269,2.601,17.78,165.32,72.95,MBA,0.113,2.496,149.86
,14.92,2460600.5,0.0584,3.157,20.53,280.23,236.18,MBA,0.068,6.401,235.05
,15.53,2460600.5,0.1767,2.66,29.27,49.08,244.78,MBA,0.083,4.408,81.27
,16.62,2460600.5,0.3037,2.548,13.20,98.71,239.00,MBA,0.056,2.692,128.47
,16.40,2460600.5,0.2694,2.671,10.71,239.68,73.88,MBA,,,62.25
,16.51,2460600.5,0.2385,2.569,5.14,100.33,234.19,MBA,,,110.70
,15.32,2460600.5,0.2227,2.923,16.42,54.42,251.12,MBA,0.039,6.409,227.00
,16.69,2460600.5,0.2300,2.649,13.83,115.68,174.08,MBA,0.041,3.294,68.38
,16.46,2460600.5,0.2461,2.675,15.51,117.40,193.93,MBA,0.082,2.553,57.21
,16.89,2460600.5,0.2038,2.431,9.55,98.40,261.75,MBA,0.148,1.652,253.53
,16.12,2460600.5,0.2426,2.552,14.76,83.14,285.46,MBA,,,130.49
,15.44,2460600.5,0.2075,3.063,8.67,248.50,69.08,MBA,0.089,4.462,131.47
,16.42,2460600.5,0.1967,2.431,8.86,100.93,249.17,MBA,0.176,1.740,262.30
,16.91,2460600.5,0.2277,2.416,1.97,316.52,44.53,MBA,0.052,2.440,271.42
,13.65,2460600.5,0.0653,5.281,14.80,310.13,56.54,TJN,0.056,10.741,129.81
,16.24,2460600.5,0.1458,2.714,15.07,101.23,146.53,MBA,0.182,1.877,64.47
,16.27,2460600.5,0.2213,2.635,12.86,249.85,8.78,MBA,0.187,1.853,147.98
,16.25,2460600.5,0.2054,2.769,10.27,158.33,151.84,MBA,,,3.46
,15.44,2460600.5,0.1262,3.098,12.73,37.88,255.29,MBA,0.065,4.963,131.86
,16.62,2460600.5,0.1146,2.703,4.19,252.01,69.96,MBA,,,22.86
,16.55,2460600.5,0.1851,2.693,8.05,139.22,198.11,MBA,,,24.59
,15.79,2460600.5,0.0685,3.18,8.38,309.07,333.21,MBA,0.022,5.922,111.42
,15.85,2460600.5,0.1953,3.151,10.86,156.65,138.67,MBA,0.030,5.546,110.51
,16.33,2460600.5,0.1499,2.699,13.57,143.67,180.92,MBA,,,23.10
,15.44,2460600.5,0.0943,3.107,18.92,60.86,287.09,MBA,0.077,4.578,87.70
,16.15,2460600.5,0.2199,2.781,13.94,78.78,258.86,MBA,,,331.09
,16.01,2460600.5,0.0780,2.788,4.69,154.73,131.91,MBA,,,359.39
,15.26,2460600.5,0.0424,3.185,11.58,323.56,9.17,MBA,0.111,4.180,54.27
,16.38,2460600.5,0.2183,2.77,3.69,200.06,149.87,MBA,,,324.56
,16.23,2460600.5,0.3316,2.566,14.81,295.29,16.44,MBA,0.167,2.052,161.84
,15.51,2460600.5,0.2656,2.667,14.08,342.29,5.20,MBA,0.146,3.168,68.62
,15.24,2460600.5,0.1482,3.14,22.80,153.83,162.00,MBA,0.067,5.387,100.79
,16.26,2460600.5,0.1367,2.766,12.17,149.38,122.30,MBA,,,27.12
,16.83,2460600.5,0.2116,2.696,6.36,150.28,125.32,MBA,,,70.35
,16.58,2460600.5,0.0615,2.961,2.34,128.36,229.29,MBA,,,186.73
,16.47,2460600.5,0.2007,2.792,7.52,181.98,97.88,MBA,0.043,3.367,6.48
,16.02,2460600.5,0.1261,2.749,8.24,220.02,44.33,MBA,0.099,3.212,47.48
,16.09,2460600.5,0.2004,3.067,5.95,262.09,19.18,MBA,0.058,3.479,178.70
,16.13,2460600.5,0.2171,2.914,15.33,358.62,285.55,MBA,0.043,4.661,270.14
,15.26,2460600.5,0.0774,3.549,18.39,173.85,183.60,OMB,0.033,6.944,235.36
,15.86,2460600.5,0.0792,3.06,13.18,208.54,262.61,MBA,,,11.79
,17.26,2460600.5,0.1748,2.575,8.71,193.22,175.98,MBA,0.039,2.328,132.62
,15.52,2460600.5,0.0949,3.008,11.67,128.38,197.39,MBA,,,194.68
,15.53,2460600.5,0.1930,3.172,10.75,135.47,148.44,MBA,0.055,5.187,129.19
,15.63,2460600.5,0.0910,3.384,9.80,182.36,241.51,OMB,0.033,5.530,279.63
,15.98,2460600.5,0.0791,3.107,7.99,19.90,321.34,MBA,0.022,6.251,131.27
,16.58,2460600.5,0.1082,2.656,4.59,357.34,337.69,MBA,0.045,2.998,94.85
,16.46,2460600.5,0.1576,2.992,1.83,340.79,261.73,MBA,0.042,3.420,276.62
,16.28,2460600.5,0.0589,3.134,2.06,196.94,114.90,MBA,,,147.66
,15.34,2460600.5,0.0683,3.007,10.79,245.51,27.80,MBA,,,243.89
,15.68,2460600.5,0.2772,3.185,26.83,192.87,135.12,MBA,0.050,4.929,84.73
,16.71,2460600.5,0.1511,2.588,11.56,342.21,31.27,MBA,0.089,2.445,117.14
,16.16,2460600.5,0.0872,2.776,4.33,268.33,109.08,MBA,0.058,3.640,316.11
,15.41,2460600.5,0.1038,2.985,11.86,114.91,225.24,MBA,,,199.81
,15.27,2460600.5,0.1074,3.237,4.15,283.78,344.70,OMB,0.065,4.988,127.39
,15.45,2460600.5,0.0868,3.119,8.60,284.64,318.62,MBA,0.049,5.245,190.86
,15.30,2460600.5,0.0945,3.162,9.34,188.77,209.40,MBA,0.054,5.444,51.38
,15.75,2460600.5,0.1345,3.05,8.01,23.35,228.73,MBA,0.059,4.560,238.32
,15.59,2460600.5,0.3119,2.716,11.14,170.96,195.53,MBA,,,31.09
,15.94,2460600.5,0.0804,3.191,10.03,203.67,161.93,MBA,,,76.71
,16.34,2460600.5,0.3181,2.632,5.00,39.81,354.91,MBA,0.060,3.422,80.05
,15.86,2460600.5,0.0990,3.215,12.86,182.65,88.16,OMB,0.042,4.302,133.93
,16.73,2460600.5,0.0725,2.632,2.89,150.51,154.42,MBA,,,137.69
,14.60,2460600.5,0.0937,3.351,15.53,236.86,86.97,OMB,0.074,7.065,19.79
,15.54,2460600.5,0.0974,3.052,8.98,179.21,166.71,MBA,,,158.75
,15.45,2460600.5,0.1298,2.659,28.08,226.05,127.46,MBA,0.092,4.175,82.45
,15.94,2460600.5,0.2339,2.605,15.54,130.72,238.53,MBA,,,106.49
,16.38,2460600.5,0.0702,3.036,2.60,345.07,345.29,MBA,0.019,5.346,169.12
,15.45,2460600.5,0.2185,3.17,16.09,68.66,261.81,MBA,0.064,5.029,96.33
,15.45,2460600.5,0.0962,3.171,10.23,73.28,319.69,MBA,,,55.70
,15.27,2460600.5,0.1181,2.999,16.27,165.02,165.31,MBA,,,208.70
,16.31,2460600.5,0.0455,2.647,9.50,71.74,231.98,MBA,0.065,3.277,127.88
,15.32,2460600.5,0.0751,3.107,10.58,116.83,185.44,MBA,0.137,3.129,158.79
,16.21,2460600.5,0.1746,2.563,15.11,131.21,182.80,MBA,,,170.87
,15.72,2460600.5,0.0864,3.216,4.04,247.72,10.28,OMB,0.072,3.421,143.15
,16.02,2460600.5,0.1049,3.087,8.33,182.39,180.41,MBA,0.042,4.123,116.61
,15.58,2460600.5,0.1991,3.124,16.84,154.32,134.75,MBA,0.045,5.219,144.37
,15.76,2460600.5,0.2292,3.088,14.69,158.98,193.34,MBA,0.048,4.593,134.23
,15.60,2460600.5,0.1313,3.213,8.22,207.42,197.93,OMB,0.031,5.991,20.42
,16.84,2460600.5,0.1082,2.756,1.93,130.03,219.18,MBA,0.046,2.817,356.93
,16.65,2460600.5,0.1424,2.793,6.19,240.20,110.33,MBA,0.042,3.104,337.32
,16.69,2460600.5,0.1512,2.654,2.88,143.79,170.35,MBA,0.137,1.799,115.00
,15.31,2460600.5,0.0365,3.205,10.00,350.99,111.78,OMB,0.044,6.323,314.72
,16.24,2460600.5,0.1622,3.069,9.40,175.71,200.89,MBA,,,127.27
,16.20,2460600.5,0.2718,2.599,12.90,186.11,110.21,MBA,0.295,1.543,164.44
,15.92,2460600.5,0.1339,3.077,4.45,188.57,110.89,MBA,0.063,3.669,202.18
,15.47,2460600.5,0.1235,3.085,9.46,318.58,273.22,MBA,0.057,5.072,240.15
,15.91,2460600.5,0.2097,2.612,12.54,106.75,261.66,MBA,0.252,1.833,103.04
,15.38,2460600.5,0.0098,3.058,16.18,169.62,64.51,MBA,,,263.10
,14.99,2460600.5,0.1965,3.173,27.09,67.59,290.84,MBA,0.055,6.196,84.24
,15.58,2460600.5,0.0633,3.069,10.40,152.65,199.46,MBA,,,141.87
,15.73,2460600.5,0.1189,2.608,13.69,284.93,28.62,MBA,0.207,2.321,145.05
,15.95,2460600.5,0.0716,3.133,6.49,121.31,3.62,MBA,,,334.25
,14.91,2460600.5,0.1445,3.94,11.36,38.25,292.23,OMB,0.035,7.838,160.41
,16.44,2460600.5,0.0208,2.763,3.42,57.91,184.53,MBA,0.040,3.844,120.56
,16.12,2460600.5,0.1249,2.999,6.19,142.18,211.46,MBA,,,189.10
,16.41,2460600.5,0.0137,2.714,2.30,63.79,32.99,MBA,0.055,3.264,304.39
Katysirles,15.54,2460600.5,0.0582,3.188,10.42,140.94,225.85,MBA,,,81.67
,16.44,2460600.5,0.0527,2.674,10.64,139.36,195.38,MBA,0.057,3.193,95.39
Lemmy,16.37,2460600.5,0.2133,3.166,7.36,109.29,137.17,MBA,0.095,2.376,197.81
,15.92,2460600.5,0.0904,3.116,13.80,152.62,5.62,MBA,0.041,4.782,350.34
,15.83,2460600.5,0.1455,3.114,6.00,59.58,271.56,MBA,,,147.33
,15.79,2460600.5,0.0751,2.987,8.34,202.26,96.97,MBA,,,275.02
,15.44,2460600.5,0.0834,3.193,15.33,217.45,121.98,MBA,0.060,4.944,102.83
,16.82,2460600.5,0.0427,2.768,1.77,83.60,205.98,MBA,0.043,2.807,61.70
,15.59,2460600.5,0.0913,2.991,19.40,195.89,118.48,MBA,0.070,4.382,238.78
